date,sweep_et,choch_et,side,pool_level,sweep_extreme,fvg_low,fvg_high,entry,stop,target,risk_points,planned_contracts,contracts,filled,fill_et,exit_et,exit_reason,r_multiple,net_pnl
2026-08-13,10:00,10:21,SHORT,30182.25,30217.5,30198.0,30199.25,30198.62,30218.5,30178.75,19.88,12,12,True,10:21,10:28,stop,-1.013,-497.88
2026-08-14,11:40,11:58,LONG,30033.5,30028.5,30043.5,30050.25,30046.88,30027.5,30066.25,19.38,12,12,True,13:25,13:28,target,1.0,450.12
2026-08-17,09:38,09:52,LONG,30180.0,30165.5,30201.5,30203.75,30202.62,30164.5,30240.75,38.12,6,6,True,10:02,10:08,stop,-1.007,-467.94
2026-08-18,09:32,09:47,SHORT,29726.5,29769.75,29697.5,29709.75,29703.62,29770.75,29636.5,67.12,3,3,True,10:03,10:06,target,1.0,399.03
2026-08-19,10:13,10:30,LONG,29406.5,29375.75,29445.5,29459.25,29452.38,29374.75,29530.0,77.62,3,0,False,,,expired,,
2026-08-20,10:20,10:40,LONG,29308.75,29305.0,29358.25,29368.75,29363.5,29304.0,29423.0,59.5,4,4,True,10:54,11:01,target,1.0,471.04
2026-08-21,10:15,10:27,LONG,29246.25,29220.0,29242.5,29251.0,29246.75,29219.0,29274.5,27.75,9,0,False,,,expired,,
2026-08-24,09:46,09:59,LONG,28975.5,28946.75,28992.0,28999.25,28995.62,28945.75,29045.5,49.88,5,5,True,10:02,10:31,target,1.0,492.55
2026-08-25,09:35,09:56,SHORT,29373.25,29414.75,29380.5,29391.0,29385.75,29415.75,29355.75,30.0,8,0,False,,,expired,,
2026-08-26,09:38,10:08,SHORT,29263.25,29332.75,29313.5,29314.0,29313.75,29333.75,29293.75,20.0,12,12,True,14:45,15:00,stop,-1.012,-500.88
2026-08-27,09:30,09:50,SHORT,29581.25,29605.0,29508.0,29553.25,29530.62,29606.0,29455.25,75.38,3,3,True,09:50,09:57,target,1.0,448.53
2026-08-28,10:08,10:21,LONG,29562.75,29505.0,29595.0,29596.25,29595.62,29504.0,29687.25,91.62,2,2,True,11:52,12:18,stop,-1.003,-369.98
2026-08-31,09:35,10:03,SHORT,29445.25,29479.0,29426.5,29430.0,29428.25,29480.0,29376.5,51.75,4,4,True,10:18,10:24,target,1.0,409.04
2026-09-01,09:50,09:57,SHORT,29153.0,29158.0,29126.0,29129.75,29127.88,29159.0,29096.75,31.12,8,8,True,10:00,10:00,target,1.0,488.08
2026-09-02,09:42,09:50,SHORT,29115.25,29119.0,29099.75,29101.25,29100.5,29120.0,29081.0,19.5,12,12,True,10:05,10:05,target,1.0,453.12
2026-09-03,11:20,11:38,SHORT,29466.25,29542.5,29461.75,29471.0,29466.38,29543.5,29389.25,77.12,3,3,True,11:38,12:58,stop,-1.003,-467.97
2026-09-04,09:48,10:08,SHORT,29647.0,29691.75,29669.75,29674.75,29672.25,29692.75,29651.75,20.5,12,0,False,,,expired,,
2026-09-07,09:35,09:58,SHORT,29624.75,29631.5,29614.5,29625.75,29620.12,29632.5,29607.75,12.38,20,20,True,09:59,10:00,stop,-1.02,-529.8
